name,cpg,brandCode,category,topBrand,categoryCode,_id,barcode,cpg_ref,cpg_id
test brand @1598639199117,"{'$ref': 'Cogs', '$id': {'$oid': '5f494c5d04db711dd8fe87e2'}}",TEST BRANDCODE @1598639199117,Baking,,BAKING,5f494c5f04db711dd8fe87e5,511111716150,Cogs,5f494c5d04db711dd8fe87e2
Pull-Ups,"{'$ref': 'Cogs', '$id': {'$oid': '550b2565e4b001d5e9e4146f'}}",PULL UPS,Baby,False,,5bd201a990fa074576779a19,511111104698,Cogs,550b2565e4b001d5e9e4146f
test brand @1605535020629,"{'$ref': 'Cogs', '$id': {'$oid': '5fb2852cbe37ce522e165cae'}}",TEST BRANDCODE @1605535020629,Baking,False,BAKING,5fb2852cbe37ce522e165cb1,511111417330,Cogs,5fb2852cbe37ce522e165cae
Brisk Iced Tea,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",BRISK,Beverages,False,,5332f60ce4b03c9a25efd0c3,511111303893,Cogs,5332f5fbe4b03c9a25efd0ba
Chris Brand XYZ,"{'$ref': 'Cogs', '$id': {'$oid': '55b62995e4b0d8e685c14213'}}",CHRISXYZ,Beverages,,,5a7e0604e4b0aedb3b84afd3,511111504139,Cogs,55b62995e4b0d8e685c14213
All-Bran,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f2e4b03c9a25efd0aa'}}",,,,,5332f9f2e4b03c9a25efd1c7,511111003243,Cpgs,5332f5f2e4b03c9a25efd0aa
Bull's Eye,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",BULL'S-EYE,Condiments & Sauces,False,,57ebbd44e4b0ac389136a32d,511111002208,Cogs,559c2234e4b06aca36af13c6
KLONDIKE,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",KLONDIKE,Frozen,False,,592486bee410d61fcea3d12f,511111600794,Cogs,5332f5f6e4b03c9a25efd0b4
FRUTTARE,"{'$ref': 'Cogs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",FRUTTARE,Frozen,,,592486bee410d61fcea3d12a,511111600848,Cogs,53e10d6368abd3c7065097cc
AFRIN® NO DRIP PUMP MISTS,"{'$ref': 'Cogs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",511111305569,Health & Wellness,,,5da60576a60b87376833e349,511111305569,Cogs,53e10d6368abd3c7065097cc
Betty Crocker,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f3e4b03c9a25efd0ae'}}",,,,,5332f5f5e4b03c9a25efd0b0,511111404002,Cpgs,5332f5f3e4b03c9a25efd0ae
Knox Gelatin,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",KNOX,Baking,False,,580dff9fe4b0f32b2de21382,511111701859,Cogs,559c2234e4b06aca36af13c6
Claritin® ADULTS,"{'$ref': 'Cogs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",511111505716,Health & Wellness,,,5da608131dda2c3e1416ae8a,511111505716,Cogs,53e10d6368abd3c7065097cc
Planters,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",PLANTERS,Snacks,False,,588b9f8fe4b02187f85cdada,511111501107,Cogs,559c2234e4b06aca36af13c6
DEGREE,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",DEGREE,Personal Care,False,PERSONAL_CARE,592486bde410d61fcea3d127,511111800873,Cogs,5332f5f6e4b03c9a25efd0b4
Caleb's Kola,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",CALEB'S KOLA,Beverages,False,,5a4d23dae4b0bcb2c74ea77e,511111000518,Cogs,5332f5fbe4b03c9a25efd0ba
Lemon Lemon Sparkling Drinks,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",LEMON LEMON,Beverages,,,5d66dc946d5f3b6188d4f04e,511111305408,Cogs,5332f5fbe4b03c9a25efd0ba
VASELINE,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",VASELINE,Personal Care,False,PERSONAL_CARE,592486bfe410d61fcea3d140,511111300656,Cogs,5332f5f6e4b03c9a25efd0b4
Cooking Light Magazine,"{'$ref': 'Cogs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",511111005216,Magazines,,,5d658ff3a3a018514994f432,511111005216,Cogs,53e10d6368abd3c7065097cc
test brand @1607312532178,"{'$ref': 'Cogs', '$id': {'$oid': '5fcda494be37ce688e08b0cb'}}",TEST BRANDCODE @1607312532178,Baking,False,BAKING,5fcda494be37ce688e08b0cc,511111817932,Cogs,5fcda494be37ce688e08b0cb
Pinesol,"{'$ref': 'Cogs', '$id': {'$oid': '5eebc5412455c97a877ef382'}}",PINESOL,Cleaning & Home Improvement,,CLEANING_AND_HOME_IMPROVEMENT,5ef4f667be37ce2efae842ea,511111715047,Cogs,5eebc5412455c97a877ef382
Snapple,"{'$ref': 'Cogs', '$id': {'$oid': '55b62995e4b0d8e685c14213'}}",,,,,55b6308ee4b0d8e685c1421a,511111202677,Cogs,55b62995e4b0d8e685c14213
Honest Ade,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5ebe4b03c9a25efd0a8'}}",,,,,5332f760e4b03c9a25efd11b,511111603719,Cpgs,5332f5ebe4b03c9a25efd0a8
test brand @1595340086791,"{'$ref': 'Cogs', '$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}}",TEST BRANDCODE @1595340086791,Candy & Sweets,,CANDY_AND_SWEETS,5f16f536be37ce2b30061e29,511111215103,Cogs,5332fa12e4b03c9a25efd1e7
